poradi;verze;jmeno;Hrano;;;;;Vyhralo;;;;;Sila
838;I;woodencrane;752;/;3041;=;24,7%;175;/;752;=;23,3%;0,8
839;NL;Brewer;22;/;95;=;23,2%;5;/;22;=;22,7%;0,8
840;NL;ClayBaker;28;/;85;=;32,9%;5;/;28;=;17,9%;0,8
841;WA;FrescoPainter;27;/;90;=;30,0%;5;/;27;=;18,5%;0,8
842;BI;ProtestSinger;13;/;55;=;23,6%;3;/;13;=;23,1%;0,8
849;Z;cooper;55;/;114;=;48,2%;6;/;55;=;10,9%;0,8
843;FR;Agrarian;60;/;231;=;26,0%;13;/;60;=;21,7%;0,8
844;WM;CovetousFarmer;464;/;2781;=;16,7%;156;/;464;=;33,6%;0,8
846;NL;Suffragette2;34;/;73;=;46,6%;4;/;34;=;11,8%;0,8
847;PI;Contortionist;40;/;127;=;31,5%;7;/;40;=;17,5%;0,8
848;WA;StreetChansonnier;26;/;71;=;36,6%;4;/;26;=;15,4%;0,8
845;WM;Minimalist;482;/;2730;=;17,7%;148;/;482;=;30,7%;0,8
850;WA;BeerParlor;25;/;96;=;26,0%;5;/;25;=;20,0%;0,7
851;WA;BowlerHat;33;/;107;=;30,8%;5;/;33;=;15,2%;0,7
852;FL;CornMaze;9;/;64;=;14,1%;3;/;9;=;33,3%;0,7
853;FL;FarmCart;10;/;62;=;16,1%;3;/;10;=;30,0%;0,7
854;FL;Office;17;/;60;=;28,3%;3;/;17;=;17,6%;0,7
855;NL;Poorhouse;19;/;85;=;22,4%;4;/;19;=;21,1%;0,7
858;I;animalfeed;400;/;3112;=;12,9%;152;/;400;=;38,0%;0,7
859;Z;brewerscopper;28;/;137;=;20,4%;7;/;28;=;25,0%;0,7
860;E;masterbrewer;514;/;2862;=;18,0%;139;/;514;=;27,0%;0,7
861;E;swineherd;611;/;2898;=;21,1%;141;/;610;=;23,1%;0,7
862;G;masterbakersapprentice;87;/;536;=;16,2%;26;/;87;=;29,9%;0,7
863;G;seedmaster;108;/;537;=;20,1%;25;/;108;=;23,1%;0,7
864;G;bakersdaughter;99;/;490;=;20,2%;25;/;99;=;25,3%;0,7
865;G;fishseller;115;/;521;=;22,1%;24;/;115;=;20,9%;0,7
866;I;fieldsman;447;/;2700;=;16,6%;140;/;447;=;31,3%;0,7
867;K;animaltamer;600;/;2831;=;21,2%;140;/;597;=;23,5%;0,7
868;K;forester;493;/;2901;=;17,0%;132;/;493;=;26,8%;0,7
869;K;storehouseclerk;489;/;2945;=;16,6%;142;/;486;=;29,2%;0,7
870;I;manure;597;/;3017;=;19,8%;154;/;597;=;25,8%;0,7
871;G;sheepskinrug;120;/;597;=;20,1%;31;/;120;=;25,8%;0,7
872;E;shepherdspipe;648;/;3190;=;20,3%;150;/;647;=;23,2%;0,7
856;FR;VegetableHarvest;106;/;253;=;41,9%;13;/;106;=;12,3%;0,7
857;FR;WildGame;71;/;239;=;29,7%;12;/;71;=;16,9%;0,7
873;WM;FamilyPlanner;722;/;2640;=;27,3%;134;/;722;=;18,6%;0,7
874;BI;Survivalist;9;/;40;=;22,5%;2;/;9;=;22,2%;0,7
875;WA;HobbyMathematician;34;/;100;=;34,0%;5;/;34;=;14,7%;0,7
876;FL;MeatSupplier;10;/;64;=;15,6%;3;/;10;=;30,0%;0,7
877;NL;PotatoEater;18;/;65;=;27,7%;3;/;18;=;16,7%;0,7
878;FL;BirdTrap;11;/;76;=;14,5%;3;/;11;=;27,3%;0,6
882;I;copse;557;/;3157;=;17,6%;131;/;555;=;23,6%;0,6
880;FL;JannekenPis;15;/;68;=;22,1%;3;/;15;=;20,0%;0,6
881;NL;Stage;14;/;91;=;15,4%;4;/;14;=;28,6%;0,6
883;E;maid;521;/;2887;=;18,0%;128;/;519;=;24,7%;0,6
884;E;stonecarrier;593;/;2924;=;20,3%;125;/;592;=;21,1%;0,6
885;E;estatemanager;345;/;2878;=;12,0%;129;/;344;=;37,5%;0,6
886;G;hermit;54;/;520;=;10,4%;21;/;54;=;38,9%;0,6
887;I;handmill;533;/;3129;=;17,0%;123;/;533;=;23,1%;0,6
