poradi;verze;jmeno;Hrano;;;;;Vyhralo;;;;;Sila
46;FR;ArtistsGarden;213;/;263;=;81,0%;81;/;213;=;38,0%;4,4
47;FR;Camembert;219;/;253;=;86,6%;77;/;219;=;35,2%;4,4
48;WM;DiamondMine;2583;/;3030;=;85,2%;933;/;2582;=;36,1%;4,4
49;FL;TrappistBeer;41;/;65;=;63,1%;20;/;41;=;48,8%;4,4
54;WM;HedgeMaster;2404;/;2722;=;88,3%;842;/;2401;=;35,1%;4,4
50;O;compulsoryeducation;98;/;114;=;86,0%;35;/;98;=;35,7%;4,4
51;CZ;cz1governor;138;/;144;=;95,8%;44;/;138;=;31,9%;4,4
52;G;animalholder;432;/;544;=;79,4%;166;/;431;=;38,5%;4,4
53;I;villageelder;2356;/;2778;=;84,8%;859;/;2356;=;36,5%;4,4
60;FR;HeadOfTheRevolution;155;/;213;=;72,8%;64;/;155;=;41,3%;4,3
55;E;clayroof;3128;/;3249;=;96,3%;987;/;3123;=;31,6%;4,3
56;E;reeve;2348;/;2823;=;83,2%;855;/;2341;=;36,5%;4,3
57;E;field;3360;/;3366;=;99,8%;956;/;3202;=;29,9%;4,3
58;E;quarry;2950;/;3289;=;89,7%;983;/;2944;=;33,4%;4,3
59;K;swanlake;2646;/;3286;=;80,5%;991;/;2641;=;37,5%;4,3
61;NL;GlassesMaker;57;/;93;=;61,3%;28;/;57;=;49,1%;4,3
62;WM;VillageSchool;2313;/;3052;=;75,8%;895;/;2312;=;38,7%;4,2
63;CZ;cz1weekendworker;98;/;127;=;77,2%;37;/;98;=;37,8%;4,2
64;CZ;cz4robber;92;/;106;=;86,8%;31;/;92;=;33,7%;4,2
65;I;churchwarden;2389;/;2738;=;87,3%;797;/;2388;=;33,4%;4,2
66;O;schnitzelmallet;84;/;125;=;67,2%;37;/;84;=;44,0%;4,2
67;K;turnipfield;2854;/;3373;=;84,6%;990;/;2842;=;34,8%;4,2
68;WA;Priest;70;/;88;=;79,5%;26;/;70;=;37,1%;4,2
69;NL;GovernorGeneral;46;/;85;=;54,1%;25;/;46;=;54,3%;4,2
70;NL;LoveMessenger;43;/;62;=;69,4%;18;/;43;=;41,9%;4,2
74;WM;LadyinWaiting;2539;/;2705;=;93,9%;775;/;2536;=;30,6%;4,1
71;K;forestpasture;2797;/;3236;=;86,4%;918;/;2789;=;32,9%;4,1
72;K;animalbreeder;2817;/;2988;=;94,3%;864;/;2813;=;30,7%;4,1
73;K;pelts;2513;/;3310;=;75,9%;948;/;2508;=;37,8%;4,1
75;NL;Bookcase;56;/;61;=;91,8%;17;/;56;=;30,4%;4
76;FL;GiftTable;60;/;64;=;93,8%;18;/;60;=;30,0%;4
77;WM;PlumPatch;2071;/;3001;=;69,0%;844;/;2069;=;40,8%;4
78;NL;VegetableGarden;79;/;85;=;92,9%;24;/;79;=;30,4%;4
84;FR;Harvester;195;/;250;=;78,0%;70;/;195;=;35,9%;4
85;WM;Engineer;2433;/;2739;=;88,8%;765;/;2432;=;31,5%;4
79;K;claypit;2884;/;3240;=;89,0%;894;/;2872;=;31,1%;4
80;E;guildmaster;2439;/;2912;=;83,8%;812;/;2436;=;33,3%;4
83;NL;AssistantTiller;77;/;93;=;82,8%;26;/;77;=;33,8%;4
81;K;perpetualstudent;2557;/;2998;=;85,3%;830;/;2550;=;32,5%;4
82;Z;stumpjumpplow;113;/;125;=;90,4%;35;/;113;=;31,0%;4
86;NL;Lawyer;81;/;97;=;83,5%;27;/;80;=;33,8%;4
87;FR;Absinthe;194;/;247;=;78,5%;67;/;194;=;34,5%;3,9
103;WM;FenceDealer;2238;/;2719;=;82,3%;744;/;2234;=;33,3%;3,9
88;E;animalpen;2713;/;3276;=;82,8%;891;/;2704;=;33,0%;3,9
89;E;beanfield;2794;/;3244;=;86,1%;889;/;2787;=;31,9%;3,9
90;E;chiefsdaughter;1804;/;2919;=;61,8%;802;/;1801;=;44,5%;3,9
91;E;landagent;2474;/;2882;=;85,8%;790;/;2469;=;32,0%;3,9
92;E;hobbyfarmer;2366;/;2954;=;80,1%;794;/;2359;=;33,7%;3,9
93;E;hutbuilder;2676;/;2901;=;92,2%;792;/;2670;=;29,7%;3,9
94;O;emergencyhousing;117;/;145;=;80,7%;40;/;117;=;34,2%;3,9
95;G;businesswoman;453;/;556;=;81,5%;151;/;453;=;33,3%;3,9
96;G;harvestfeast;445;/;601;=;74,0%;164;/;445;=;36,9%;3,9
97;I;farmsteward;2395;/;2771;=;86,4%;756;/;2392;=;31,6%;3,9
98;I;woodcollector;2303;/;2804;=;82,1%;761;/;2302;=;33,1%;3,9
99;K;marketwomen;2743;/;2986;=;91,9%;806;/;2731;=;29,5%;3,9
100;I;planterbox;2654;/;3082;=;86,1%;839;/;2654;=;31,6%;3,9
101;E;privateforest;2818;/;3198;=;88,1%;868;/;2808;=;30,9%;3,9
102;E;ridingplow;2798;/;3182;=;87,9%;872;/;2794;=;31,2%;3,9
104;WA;GermanbyChoice;65;/;106;=;61,3%;29;/;65;=;44,6%;3,9
105;FR;ParkCemetery;219;/;273;=;80,2%;72;/;219;=;32,9%;3,8
106;WA;RiverPort;65;/;82;=;79,3%;22;/;65;=;33,8%;3,8
116;WM;BargainingBaker;2426;/;2767;=;87,7%;733;/;2425;=;30,2%;3,8
118;FR;TurkeyBreeder;232;/;256;=;90,6%;69;/;232;=;29,7%;3,8
107;K;clayhutextension;2547;/;3244;=;78,5%;866;/;2543;=;34,1%;3,8
108;E;reedcollector;2392;/;2841;=;84,2%;756;/;2387;=;31,7%;3,8
109;E;headofthefamily;2617;/;2881;=;90,8%;762;/;2612;=;29,2%;3,8
110;E;patron;2619;/;2919;=;89,7%;783;/;2612;=;30,0%;3,8
111;I;fishtrap;2880;/;3131;=;92,0%;824;/;2879;=;28,6%;3,8
112;G;villagefarmer;391;/;522;=;74,9%;140;/;391;=;35,8%;3,8
113;K;constable;2213;/;2965;=;74,6%;784;/;2211;=;35,5%;3,8
114;E;lettucepatch;2603;/;3220;=;80,8%;855;/;2598;=;32,9%;3,8
117;NL;ChoirBoy;65;/;82;=;79,3%;22;/;65;=;33,8%;3,8
115;E;stable;3018;/;3104;=;97,2%;690;/;2503;=;27,6%;3,8
119;WA;TravelAgent;75;/;93;=;80,6%;25;/;75;=;33,3%;3,8
120;NL;ParkBench;61;/;78;=;78,2%;20;/;61;=;32,8%;3,7
121;WM;SteelPlow;2729;/;3078;=;88,7%;793;/;2728;=;29,1%;3,7
122;NL;Stockpile;49;/;78;=;62,8%;20;/;49;=;40,8%;3,7
123;E;axe;3036;/;3274;=;92,7%;845;/;3026;=;27,9%;3,7
124;E;chief;1692;/;2831;=;59,8%;724;/;1689;=;42,9%;3,7
125;G;resourcecollector;396;/;530;=;74,7%;139;/;396;=;35,1%;3,7
126;K;horse;2657;/;3311;=;80,2%;859;/;2650;=;32,4%;3,7
127;K;housesteward;2370;/;2979;=;79,6%;760;/;2362;=;32,2%;3,7
128;NL;Overwinterer;51;/;66;=;77,3%;17;/;51;=;33,3%;3,7
129;WA;Docker;53;/;81;=;65,4%;21;/;53;=;39,6%;3,7
130;FL;Brakelhuhner;33;/;64;=;51,6%;16;/;33;=;48,5%;3,6
131;WM;Downsizing;2393;/;2981;=;80,3%;753;/;2393;=;31,5%;3,6
132;NL;PoppyField;56;/;71;=;78,9%;18;/;56;=;32,1%;3,6
133;FR;ThreshingMachinePlow;181;/;237;=;76,4%;60;/;181;=;33,1%;3,6
142;FR;DoveHunter;162;/;250;=;64,8%;63;/;162;=;38,9%;3,6
134;E;lordofthemanor;1475;/;2875;=;51,3%;717;/;1474;=;48,6%;3,6
135;E;plowdriver;1993;/;2866;=;69,5%;718;/;1990;=;36,1%;3,6
136;E;fieldwarden;2509;/;2884;=;87,0%;719;/;2503;=;28,7%;3,6
137;G;animalfarmer;290;/;527;=;55,0%;133;/;290;=;45,9%;3,6
138;G;grump;372;/;528;=;70,5%;134;/;372;=;36,0%;3,6
139;K;milkingstool;2331;/;3289;=;70,9%;836;/;2326;=;35,9%;3,6
141;FL;StableArchitect;27;/;56;=;48,2%;14;/;27;=;51,9%;3,6
140;E;minipasture;2791;/;3193;=;87,4%;796;/;2787;=;28,6%;3,6
143;WM;BackyardWell;2224;/;3050;=;72,9%;741;/;2221;=;33,4%;3,5
144;FR;Diary;223;/;272;=;82,0%;66;/;223;=;29,6%;3,5
145;WM;FlowerPots;2443;/;3028;=;80,7%;742;/;2441;=;30,4%;3,5
146;FR;GroundPickaxePlow;219;/;269;=;81,4%;66;/;219;=;30,1%;3,5
147;NL;MilkJug;54;/;74;=;73,0%;18;/;54;=;33,3%;3,5
148;BI;The52ndLatitude;20;/;41;=;48,8%;10;/;20;=;50,0%;3,5
157;FR;WritingManiac;154;/;233;=;66,1%;57;/;154;=;37,0%;3,5
149;I;chickencoop;2654;/;3180;=;83,5%;782;/;2652;=;29,5%;3,5
150;E;clogs;2386;/;3212;=;74,3%;783;/;2381;=;32,9%;3,5
151;I;flagon;2461;/;3047;=;80,8%;745;/;2458;=;30,3%;3,5
152;G;wintercrafter;409;/;553;=;74,0%;137;/;409;=;33,5%;3,5
153;K;fenceoverseer;2492;/;2920;=;85,3%;704;/;2478;=;28,4%;3,5
154;K;sawhorse;2909;/;3203;=;90,8%;778;/;2901;=;26,8%;3,5
156;NL;Companion;60;/;86;=;69,8%;21;/;60;=;35,0%;3,5
155;E;writingdesk;2836;/;3311;=;85,7%;815;/;2829;=;28,8%;3,5
158;WM;Almshouse;2426;/;3057;=;79,4%;718;/;2422;=;29,6%;3,4
159;FR;CoffeeBreak;188;/;267;=;70,4%;64;/;188;=;34,0%;3,4
160;FR;EveningPrayer;167;/;249;=;67,1%;60;/;167;=;35,9%;3,4
161;NL;ImpossibleCrate;54;/;68;=;79,4%;16;/;54;=;29,6%;3,4
162;WA;MarketFountain;77;/;102;=;75,5%;24;/;77;=;31,2%;3,4
163;NL;Shack;65;/;92;=;70,7%;22;/;65;=;33,8%;3,4
164;PI;Spars;74;/;131;=;56,5%;31;/;74;=;41,9%;3,4
180;WM;SunriseAdmirer;2126;/;2671;=;79,6%;634;/;2124;=;29,8%;3,4
181;FR;DebtCollector;179;/;238;=;75,2%;56;/;179;=;31,3%;3,4
182;FR;Workaholic;157;/;239;=;65,7%;56;/;157;=;35,7%;3,4
165;G;animalfarm;409;/;590;=;69,3%;139;/;409;=;34,0%;3,4
166;Z;bible;117;/;142;=;82,4%;34;/;117;=;29,1%;3,4
167;G;bountifulharvest;389;/;567;=;68,6%;137;/;389;=;35,2%;3,4
168;E;dovecote;2387;/;3131;=;76,2%;741;/;2381;=;31,1%;3,4
169;E;hedgekeeper;2533;/;2987;=;84,8%;710;/;2527;=;28,1%;3,4
170;G;grainlover;344;/;495;=;69,5%;118;/;343;=;34,4%;3,4
171;K;granary;2263;/;3285;=;68,9%;791;/;2257;=;35,0%;3,4
172;I;puppeteer;1959;/;2678;=;73,2%;639;/;1959;=;32,6%;3,4
173;Z;keg;104;/;137;=;75,9%;33;/;104;=;31,7%;3,4
174;O;opinionleader;95;/;114;=;83,3%;27;/;95;=;28,4%;3,4
178;FL;Anatomist;46;/;63;=;73,0%;15;/;46;=;32,6%;3,4
179;WA;SmallscaleFarmer;65;/;85;=;76,5%;20;/;64;=;31,3%;3,4
175;G;paddocks;392;/;557;=;70,4%;134;/;391;=;34,3%;3,4
176;I;spinney;2558;/;3153;=;81,1%;757;/;2553;=;29,7%;3,4
177;K;swingplow;2848;/;3265;=;87,2%;776;/;2836;=;27,4%;3,4
183;WM;CashCrop;2301;/;3060;=;75,2%;708;/;2299;=;30,8%;3,3
184;WA;CatTongue;56;/;81;=;69,1%;19;/;56;=;33,9%;3,3
185;WM;Cookies;2228;/;3068;=;72,6%;701;/;2228;=;31,5%;3,3
186;FL;CourtyardGarden;40;/;74;=;54,1%;17;/;40;=;42,5%;3,3
187;FR;Homework;215;/;280;=;76,8%;64;/;215;=;29,8%;3,3
188;WM;OakCask;2231;/;3010;=;74,1%;700;/;2229;=;31,4%;3,3
189;WM;SlapdashRenovation;2558;/;3037;=;84,2%;708;/;2555;=;27,7%;3,3
190;BI;Spielwiese;43;/;48;=;89,6%;11;/;43;=;25,6%;3,3
191;NL;WoodenShoes;51;/;65;=;78,5%;15;/;51;=;29,4%;3,3
199;WM;BeeKeeper;1854;/;2675;=;69,3%;614;/;1854;=;33,1%;3,3
200;WM;FoodConnoisseur;2202;/;2833;=;77,7%;644;/;2201;=;29,3%;3,3
202;WM;Hoarder;2089;/;2737;=;76,3%;632;/;2087;=;30,3%;3,3
203;WM;LivestockKeeper;1784;/;2720;=;65,6%;626;/;1783;=;35,1%;3,3
204;FR;ParquetSetter;146;/;232;=;62,9%;54;/;146;=;37,0%;3,3
205;FR;FencingMaster;203;/;229;=;88,6%;53;/;203;=;26,1%;3,3
206;WM;HumbleFarmboy;1926;/;2706;=;71,2%;623;/;1925;=;32,4%;3,3
192;K;broom;2548;/;3221;=;79,1%;740;/;2542;=;29,1%;3,3
193;E;claysupports;2600;/;3250;=;80,0%;738;/;2590;=;28,5%;3,3
201;FL;FranciscanMonk;56;/;69;=;81,2%;16;/;56;=;28,6%;3,3
194;K;cookinghearth;3232;/;3326;=;97,2%;639;/;2669;=;23,9%;3,3
195;E;tutor;2230;/;2821;=;79,0%;649;/;2224;=;29,2%;3,3
196;K;greenhouse;2555;/;3230;=;79,1%;747;/;2548;=;29,3%;3,3
197;E;simplefireplace;2633;/;3261;=;80,7%;749;/;2627;=;28,5%;3,3
198;I;woodenpath;2281;/;3190;=;71,5%;741;/;2278;=;32,5%;3,3
207;WM;DrainedPond;2225;/;3155;=;70,5%;703;/;2224;=;31,6%;3,2
208;FR;FiveRings;222;/;262;=;84,7%;58;/;222;=;26,1%;3,2
209;PI;Geode;101;/;141;=;71,6%;32;/;101;=;31,7%;3,2
210;NL;GoldenEarring;42;/;77;=;54,5%;17;/;42;=;40,5%;3,2
211;FR;Grotto;213;/;274;=;77,7%;62;/;213;=;29,1%;3,2
212;NL;HouseBoat;53;/;75;=;70,7%;17;/;53;=;32,1%;3,2
213;FR;Sofa;140;/;264;=;53,0%;59;/;140;=;42,1%;3,2
214;WM;StorageShed;2228;/;3091;=;72,1%;687;/;2226;=;30,9%;3,2
215;NL;Undergrowth;59;/;75;=;78,7%;17;/;59;=;28,8%;3,2
222;FR;LandscapeGardener;154;/;226;=;68,1%;50;/;154;=;32,5%;3,2
223;WM;Remodeler;2235;/;2795;=;80,0%;630;/;2234;=;28,2%;3,2
224;FR;Benefactor;191;/;257;=;74,3%;58;/;191;=;30,4%;3,2
226;WM;WheelbarrowPusher;2414;/;2823;=;85,5%;630;/;2411;=;26,1%;3,2
216;CZ;cz1informer;69;/;119;=;58,0%;27;/;69;=;39,1%;3,2
217;Z;hopfield;70;/;133;=;52,6%;30;/;70;=;42,9%;3,2
218;I;fencedeliveryman;2197;/;2883;=;76,2%;637;/;2196;=;29,0%;3,2
219;K;resourceseller;2518;/;2913;=;86,4%;657;/;2508;=;26,2%;3,2
220;K;wooddeliveryman;1940;/;2907;=;66,7%;653;/;1935;=;33,7%;3,2
225;NL;TreeCollector;68;/;72;=;94,4%;16;/;68;=;23,5%;3,2
221;K;landingnet;2765;/;3294;=;83,9%;747;/;2763;=;27,0%;3,2
227;NL;CarriageTrip;42;/;69;=;60,9%;15;/;42;=;35,7%;3,1
228;NL;EastIndiaCompany;55;/;83;=;66,3%;18;/;55;=;32,7%;3,1
229;WM;Fruitcake;1875;/;2974;=;63,0%;651;/;1875;=;34,7%;3,1
230;NL;JoyHouse;53;/;78;=;67,9%;17;/;53;=;32,1%;3,1
231;WM;MountainCave;2568;/;3131;=;82,0%;681;/;2567;=;26,5%;3,1
232;BI;SparrenCastle;33;/;51;=;64,7%;11;/;33;=;33,3%;3,1
233;NL;Studio;72;/;98;=;73,5%;21;/;72;=;29,2%;3,1
246;FR;GrainSpeculator;185;/;261;=;70,9%;57;/;185;=;30,8%;3,1
234;I;claypath;2047;/;3170;=;64,6%;692;/;2046;=;33,8%;3,1
235;G;clearcutting;500;/;615;=;81,3%;135;/;500;=;27,0%;3,1
236;I;cookingcorner;2020;/;3166;=;63,8%;680;/;2017;=;33,7%;3,1
237;G;fishermansapprentice;397;/;570;=;69,6%;123;/;396;=;31,1%;3,1
238;G;freeloader;530;/;558;=;95,0%;120;/;530;=;22,6%;3,1
239;G;holidaypresent;395;/;567;=;69,7%;123;/;395;=;31,1%;3,1
240;I;layabout;1900;/;2835;=;67,0%;618;/;1897;=;32,6%;3,1
241;I;milkinghand;1629;/;2800;=;58,2%;616;/;1628;=;37,8%;3,1
242;K;storehousekeeper;2286;/;2982;=;76,7%;649;/;2278;=;28,5%;3,1
243;O;neutrality;80;/;123;=;65,0%;27;/;80;=;33,8%;3,1
244;G;sharedwall;460;/;582;=;79,0%;128;/;459;=;27,9%;3,1
245;G;treehouse;507;/;613;=;82,7%;133;/;507;=;26,2%;3,1
247;NL;CheeseSeller;45;/;82;=;54,9%;18;/;45;=;40,0%;3,1
248;FR;AmusementPark;157;/;243;=;64,6%;51;/;157;=;32,5%;3
249;WA;ComicShop;49;/;85;=;57,6%;18;/;49;=;36,7%;3
250;NL;CutPastures;83;/;94;=;88,3%;20;/;83;=;24,1%;3
251;NL;DrawWell;57;/;81;=;70,4%;17;/;57;=;29,8%;3
252;FR;EncirclingWall;150;/;259;=;57,9%;55;/;150;=;36,7%;3
253;FR;StoneHouseReconstruc;161;/;254;=;63,4%;54;/;161;=;33,5%;3
270;WM;ForestFarmer;2069;/;2688;=;77,0%;560;/;2065;=;27,1%;3
271;FR;ImmigrantsSon;190;/;247;=;76,9%;52;/;190;=;27,4%;3
273;WM;StoneCurator;1513;/;2855;=;53,0%;606;/;1512;=;40,1%;3
274;FR;GardeningEnthusiast;163;/;246;=;66,3%;51;/;163;=;31,3%;3
254;E;basket;2889;/;3210;=;90,0%;376;/;1623;=;23,2%;3
255;G;beehiveoven;407;/;615;=;66,2%;131;/;407;=;32,2%;3
256;K;cornsheaf;2467;/;3203;=;77,0%;678;/;2464;=;27,5%;3
257;CZ;cz4teacherofnations;117;/;127;=;92,1%;27;/;117;=;23,1%;3
258;E;plowmaker;2169;/;2962;=;73,2%;617;/;2164;=;28,5%;3
259;E;seasonalworker;2251;/;2873;=;78,4%;611;/;2249;=;27,2%;3
260;Z;golem;100;/;121;=;82,6%;25;/;100;=;25,0%;3
261;I;wellbuilder;2228;/;2826;=;78,8%;592;/;2225;=;26,6%;3
262;K;woodcarver;2387;/;3013;=;79,2%;630;/;2379;=;26,5%;3
263;K;loom;2181;/;3262;=;66,9%;682;/;2177;=;31,3%;3
264;G;migrantworkers;476;/;601;=;79,2%;125;/;475;=;26,3%;3
265;G;pineforest;396;/;573;=;69,1%;120;/;396;=;30,3%;3
266;I;punner;2091;/;3117;=;67,1%;645;/;2088;=;30,9%;3
267;G;sickle;322;/;587;=;54,9%;123;/;321;=;38,3%;3
272;FL;OldMaster;34;/;57;=;59,6%;12;/;34;=;35,3%;3
268;G;stonekitchen;424;/;609;=;69,6%;127;/;424;=;30,0%;3
269;I;strawberrypatch;1661;/;3098;=;53,6%;652;/;1660;=;39,3%;3
275;PI;MarriageCounselor;57;/;110;=;51,8%;23;/;57;=;40,4%;3
276;WA;BeerTable;63;/;76;=;82,9%;15;/;62;=;24,2%;2,9
277;WM;ClockworkMan;2171;/;2975;=;73,0%;607;/;2169;=;28,0%;2,9
278;NL;GoldenHelmet;40;/;65;=;61,5%;13;/;40;=;32,5%;2,9
279;PI;MeetingPost;88;/;135;=;65,2%;27;/;88;=;30,7%;2,9
280;FR;WitchesDanceGround;163;/;265;=;61,5%;54;/;163;=;33,1%;2,9
291;FR;SailboatConstructor;159;/;245;=;64,9%;50;/;159;=;31,4%;2,9
292;FR;Trailblazer;174;/;248;=;70,2%;50;/;174;=;28,7%;2,9
295;FR;ShovelWorker;135;/;228;=;59,2%;46;/;135;=;34,1%;2,9
296;FR;WealthiestEuropean;122;/;233;=;52,4%;47;/;122;=;38,5%;2,9
281;G;bakingfield;359;/;573;=;62,7%;116;/;358;=;32,4%;2,9
282;E;stonecutter;2149;/;2904;=;74,0%;586;/;2143;=;27,3%;2,9
283;I;socialclimber;1780;/;2820;=;63,1%;571;/;1779;=;32,1%;2,9
284;K;plowman;2141;/;2926;=;73,2%;586;/;2131;=;27,5%;2,9
285;K;cattlebreeder;1741;/;2929;=;59,4%;601;/;1735;=;34,6%;2,9
290;NL;Collector;34;/;68;=;50,0%;14;/;34;=;41,2%;2,9
286;O;magnate;65;/;107;=;60,7%;22;/;65;=;33,8%;2,9
287;K;oxteam;1932;/;3316;=;58,3%;675;/;1928;=;35,0%;2,9
293;NL;DistantPrincess;48;/;78;=;61,5%;16;/;48;=;33,3%;2,9
294;NL;Knight;52;/;85;=;61,2%;17;/;52;=;32,7%;2,9
288;I;shepherdscrook;2152;/;3133;=;68,7%;628;/;2149;=;29,2%;2,9
289;E;turnwrestplow;2588;/;3163;=;81,8%;633;/;2580;=;24,5%;2,9
297;WM;AppleTree;2025;/;3068;=;66,0%;599;/;2024;=;29,6%;2,8
298;NL;Canal;52;/;77;=;67,5%;15;/;52;=;28,8%;2,8
299;WM;IronPlow;2478;/;3021;=;82,0%;602;/;2476;=;24,3%;2,8
300;WM;LampOil;1881;/;3073;=;61,2%;592;/;1878;=;31,5%;2,8
301;PI;LandscapeDesign;83;/;122;=;68,0%;24;/;83;=;28,9%;2,8
302;NL;NightWatch;42;/;57;=;73,7%;11;/;42;=;26,2%;2,8
303;WA;NoSonofMan;65;/;87;=;74,7%;17;/;65;=;26,2%;2,8
304;FR;Orchard;147;/;256;=;57,4%;51;/;147;=;34,7%;2,8
313;FR;Boatswain;166;/;246;=;67,5%;48;/;166;=;28,9%;2,8
315;FR;ConvictNumber24601;108;/;214;=;50,5%;42;/;108;=;38,9%;2,8
316;WM;MasterStableman;2038;/;2816;=;72,4%;558;/;2037;=;27,4%;2,8
317;FR;Mastermind;140;/;230;=;60,9%;45;/;140;=;32,1%;2,8
318;FR;Reformer;135;/;233;=;57,9%;45;/;135;=;33,3%;2,8
319;WM;SiloGirl;1490;/;2734;=;54,5%;538;/;1488;=;36,2%;2,8
